Study,Reward,Bonus,Started At,Completed At,Completion Code,Status,Applicable Terms
The Socio-Economic Impact of Troll Bridge Tolls,£14.42,£0.00,2026-02-01 09:15:22.105000,2026-02-01 10:45:11.993000,CMZ42OOK,APPROVED,Participant Terms
User Experience: Interacting with a Hex-based Computer System,$5.15,$0.00,2026-02-01 02:22:15.112000,2026-02-01 02:40:05.441000,do-not-share-HEX-1,APPROVED,Participant Terms
Quantifying the Stickiness of Sticky Toffee,$5.02,$0.00,2026-02-01 02:05:10.554000,2026-02-01 02:21:55.332000,do-not-share-GUM-9,APPROVED,Participant Terms
Analysis of Post-Mortem Communication via Séance,$5.02,$0.00,2026-02-01 01:45:33.221000,2026-02-01 02:02:14.887000,do-not-share-DEAD-1,APPROVED,Participant Terms
Auditory Processing of 'Oook' in High-Stress Environments,$5.02,$0.00,2026-01-31 23:55:12.998000,2026-02-01 00:10:44.221000,do-not-share-APE-4,APPROVED,Participant Terms
The Aerodynamics of Thrown Dwarf Bread,$5.02,$0.00,2026-01-31 22:30:15.456000,2026-01-31 22:45:59.112000,do-not-share-ROCK-9,APPROVED,Participant Terms
Survey: Are you a witch or just very good at Headology?,$2.25,$0.00,2026-01-31 17:15:22.114000,2026-01-31 17:25:55.998000,GRANNY1,APPROVED,Participant Terms
[99a77b12]   Visualizing Octarine: A Color Perception Study,$9.45,$0.00,2026-01-31 15:15:33.774000,,,RETURNED,Participant Terms
Empirical analysis of the nutritional value of Rat-on-a-Stick,£1.15,£0.00,2026-01-31 15:10:12.556000,2026-01-31 15:16:44.221000,DIBBLER7,APPROVED,Participant Terms
Evaluating the Sarcasm Levels of a Patrician,$9.45,$0.00,2026-01-31 14:50:22.331000,2026-01-31 15:05:15.774000,VETINARI,APPROVED,Participant Terms
Effectiveness of Wooden Training Dummies in Guard Recruitment,$9.45,$0.00,2026-01-31 14:40:11.112000,2026-01-31 14:50:55.996000,NOCODE,APPROVED,Participant Terms
Navigating L-Space: A Library Usability Test,£2.55,£0.00,2026-01-31 13:05:44.887000,2026-01-31 13:15:33.225000,OOK-OOK,AWAITING REVIEW,Participant Terms
